35.19,38.02
36.74,37.83
36.68,37.24
35.95,37.36
36.16,37.48
37.21,37.86
36.88,37.46
36.44,37.79
37.40,37.74
35.97,37.78
36.22,37.26
36.11,36.93
36.44,37.38
36.69,36.58
36.07,37.95
35.93,38.13
36.39,37.79
36.23,37.10
36.13,38.21
36.43,38.13
36.21,37.03
36.67,37.28
35.66,36.80
35.21,37.61
36.38,37.32
36.12,36.79
36.64,37.72
36.55,37.30
36.05,37.62
36.32,38.43
36.52,37.91
36.43,37.45
35.94,37.90
35.51,36.72
36.84,36.83
36.34,37.73
36.82,38.45
36.07,37.48
35.60,37.05
36.55,37.06
36.60,38.31
35.55,37.80
37.39,38.51
36.62,37.13
36.77,36.88
35.58,37.50
36.73,37.47
37.06,38.07
35.92,37.58
36.49,37.90
